offer_id,extraction_date,lat,lng,area_m2,furnished,zip_code,main_category,rooms,build_year,state,city,sub_category,balcony,heat_type,offer_title,kitchen,rent_price,garden
45818107,2021-11-10 05:15:08,51.23371,6.75571,113.0,1,40545.0,Wohnung,3.0,1978.0,Nordrhein-Westfalen,Düsseldorf,Apartment,1,Zentralheizung,Hochwertige Wohnung mit 2 Balkonen und neuer Einbauküche in Top Lage von Oberkassel,1,1800.0,0
45752577,2021-11-10 05:15:08,51.23371,6.75571,113.0,1,40545.0,Wohnung,3.0,1978.0,Nordrhein-Westfalen,Düsseldorf,Apartment,1,Zentralheizung,Hochwertige Wohnung mit 2 Balkonen und neuer Einbauküche in Top Lage von Oberkassel,1,1800.0,0
45654279,2021-11-10 05:15:08,51.05224,13.82904,67.2,1,1326.0,Wohnung,2.0,,Sachsen,Dresden,Wohnung,0,,Kleine Galeriewohnung in exklusiver Villenlage in Dresden,0,850.0,0
45654280,2021-11-10 05:15:08,51.05224,13.82904,150.53,1,1326.0,Wohnung,4.0,,Sachsen,Dresden,Wohnung,0,,Erstbezug - Wohnung in kleinem Villenensemble in exklusiver Lage in Dresden,0,2200.0,0
45162761,2021-11-10 05:15:08,53.64558,9.92183,110.0,1,22457.0,Wohnung,4.0,,Hamburg,Hamburg,Wohnung,0,Zentralheizung,Wohnen und evtl. Arbeiten - Außergewöhnliche 4 Zimmer Wohnung,1,1540.0,0
44409112,2021-11-10 05:15:08,53.58469,9.71767,55.3,1,22880.0,Wohnung,2.0,1960.0,Schleswig-Holstein,Wedel,Etagenwohnung,1,,2-Zimmer-Wohnung mit tollem Ausblick in Wedel,0,550.0,0
44278043,2021-11-10 05:15:08,50.0995,8.63902,66.41,1,60326.0,Wohnung,2.0,2021.0,Hessen,Frankfurt am Main,Erdgeschosswohnung,0,Zentralheizung,ERSTBEZUG,0,1200.0,0
45752609,2021-11-10 05:15:08,53.571400777936,9.8431535618602,83.19,1,22605.0,Wohnung,2.0,1984.0,Hamburg,Hamburg,Souterrainwohnung,0,Zentralheizung,Groß Flottbek,1,725.0,0
44966183,2021-11-10 05:15:08,51.03855,13.69953,58.0,1,1159.0,Wohnung,2.0,1910.0,Sachsen,Dresden,Erdgeschosswohnung,0,Etagenheizung,DD-Löbtau,0,350.0,0
45818152,2021-11-10 05:15:08,52.379020006397695,9.768243495913543,101.45,1,30177.0,Wohnung,4.0,2021.0,Niedersachsen,Hannover,Etagenwohnung,0,,Familienglück in der schönen List | Constantin Quartier,1,1400.0,0
45752622,2021-11-10 05:15:08,52.379020006397695,9.768243495913543,101.45,1,30177.0,Wohnung,4.0,2021.0,Niedersachsen,Hannover,Etagenwohnung,0,,Familienglück in der schönen List | Constantin Quartier,1,1400.0,0
