extraction_datetime,city,city_code,offers
2021-11-09 06:23:05,Dusseldorf,100207,377
2021-11-09 06:23:05,Berlin,87372,459
2021-11-09 06:23:05,Essen,102157,586
2021-11-09 06:23:05,Munchen,121673,797
2021-11-09 06:23:05,Koln,113144,191
2021-11-09 06:23:05,Stuttgart,143262,328
2021-11-09 06:23:05,Dresden,100051,1920
2021-11-09 06:23:05,Hannover,109489,262
2021-11-09 06:23:05,Dortmund,99990,465
2021-11-09 06:23:05,Frankfurt am Main,105043,766
2021-11-09 06:23:05,Hamburg,109447,1187
